requirement_id,domain,requirement,classification,authoritative_evidence,next_action,owner
OPS-012,operations,Capacity assumptions,weak_evidence,6a885827b7e89d06111c87c34293250eab196d47; docs/CAPACITY_ASSUMPTIONS.md,"Run load, soak, pool saturation and failover tests in staging",WS-09
OPS-013,operations,Staging workload verification,missing,No authorized staging or pod execution,External blocker plus independent local work,WS-09
DLV-001,delivery,Frontend deterministic gates,proven,lint 33 tests build in session,Preserve,WS-10
DLV-002,delivery,Backend locked wheel gates,proven,baseline CI eight jobs success,Re-run after changes,WS-10
DLV-003,delivery,Container Helm Terraform supply-chain gates,proven,Baseline PR #3 checks success with documented scope,Re-run after changes,WS-09
DLV-004,delivery,Local and remote SHA verified,proven,b9e88fe local equals remote at baseline,Repeat after push,WS-12
DLV-005,delivery,Draft PR reviewable,weak_evidence,PR #3 open draft with green baseline,Update body and exact evidence,WS-12
DLV-006,delivery,Merge and production separated as human gates,proven,AGENTS and program release plan,Preserve,WS-12
DLV-007,delivery,Release notes and upgrade path,incomplete,No release and partial migration docs,Create when candidate is ready,WS-12
EVAL-001,testing,Unit integration API and migration tests,proven,Frontend backend PostgreSQL migration CI,Expand missing behaviors,WS-10
EVAL-002,testing,Functional journey and failure evals,incomplete,Core journey and some denials exist,Add retry cancel conflict backup rollback,WS-10
EVAL-003,testing,Semantic groundedness and citation fidelity,proven,revision 3 local evidence; corpus.v2 20/20 expectations; exact source/locator/claim-map plus broad prohibited-claim coverage,Run exact-head CI and inspect retained artifact before re-closing INC-010,WS-10
EVAL-004,testing,Prompt injection and adversarial evals,proven,revision 3 local evidence; 19 adversarial cases including generic guarantee superlative certainty 100 percent injection legal numeric authority and boundary negatives PASS,Run exact-head CI and preserve zero-network deterministic execution,WS-10
EVAL-005,testing,Independent exact-commit verification,proven,corpus.v2 binds exact finding codes counts and metrics; tamper negatives for codes counts metrics digest effects and expected SHA PASS,Require exact-head GitHub artifact and close gate before merge,WS-10
LEGAL-001,legal,License policy and third-party inventory,proven,"1843aa93c7675c6f5f10254ee3b7cffc020f9fd5; compliance/third-party-inventory.json; docs/compliance/third-party-notices.md; exact direct licenses/versions, base digests, Action SHAs and video-use MIT review; OCI SBOM/license policy",Preserve exact inventory and require counsel/provider review before distribution or activation,WS-11
LEGAL-002,legal,Privacy review with jurisdiction and retention,contradicted,"1843aa93c7675c6f5f10254ee3b7cffc020f9fd5; compliance/privacy-decision-register.json proves operating entity, jurisdiction, controller/processor role and provider terms UNKNOWN; seven retention/deletion/legal-hold policies unapproved","Accountable privacy/legal, security and business reviewers approve exact policy source/version/date, then implement and independently verify",WS-11
LEGAL-003,legal,No legal overclaim,weak_evidence,b726ae5854bb5406b819c815f3acf66d933acf40; deterministic legal-overclaim and instruction-injection corpus now passes; accountable jurisdiction-specific human review remains blocked under INC-011,Complete accountable human privacy/legal review before release or real political use,WS-11
INT-001,integrations,External integrations disabled by default,proven,"6eb7fa070bcbe71c840ca316fc86d369d9d1691b; social publication and model execution/effect-authority flags default false in app, Helm, Terraform and package; active_external_providers=0",Require exact-head CI plus provider terms/privacy/budget/deployment approval before enabling,WS-08
INT-002,integrations,Versioned external adapter contracts,proven,8eb0cf7dee9b3400351a8b7d603a94666253f1e7; bounded X POST /2/tweets and Instagram /media then /media_publish adapters execute only behind durable intent/fence/receipt authority with MockTransport and socket-guard evidence,Run one explicitly authorized sandbox post per channel and reconcile exact receipts,WS-08
INT-003,integrations,browser-use video-use evaluation,proven,Exact browser-use/video-use 92c2b34e44c205cbc2acae7f6ca7c1c219d5dd66; 33 SHA-256 hashes; docs/integrations/video-use-review.md; 61da89cd5bcc36fc5d99b97dd429d73fbb331959,Re-review a patched exact commit and close all activation requirements before any execution,WS-08
SUP-001,supply_chain,Digest-pinned bases and SHA-pinned actions,proven,Dockerfile workflow and supply-chain evidence,Preserve,WS-11
SUP-002,supply_chain,SBOM vulnerability provenance signature verification,proven,verify-supply-chain gate,Re-run on exact tree,WS-11
SUP-003,supply_chain,Expiring vulnerability exceptions managed,weak_evidence,Five HIGH exceptions expire 2026-08-21,Create expiry task and remove before deadline,WS-11
SEC-013,security,PostgreSQL production runtime uses a non-owner least-privilege role separated from schema migration authority,weak_evidence,1002d077564618623fe00f27ffae23c2b410aca8; GitHub Actions 29868899218; scripts/verify-postgresql-runtime.sh; program/reports/inc-012-progress.md,Observe the same non-owner boundary in an authorized persistent staging environment before production,WS-07
PROD-006,product,"Political campaign content is structured, localized and source-mapped before Greenlight",proven,6ebbd634bd32408db0a7678289b0f906cda014c0; specs/021-campaign-intelligence/spec.md; campaign_intelligence.py; political runtime/API/UI tests,Run exact-head CI and add governed rendered media under INC-022,WS-05
SEC-014,security,Evidence and legal approval authority derive from the authenticated server identity,proven,6ebbd634bd32408db0a7678289b0f906cda014c0; operator self-attestation denied; reviewer fields overwritten server-side,Preserve RBAC regressions and obtain accountable human/legal approval for real campaigns,WS-07
EVAL-006,testing,"Political content fails closed on missing verification, legal review, source visibility or prohibited promotion",proven,"6e69b8eb13a6196bba8db3c2039ab4dc09609aa0; GitHub Actions 30476446123; Critique blocks injection and unsupported numeric/overclaim content plus verification, legal review, citations and disclosure",Preserve exact-head corpus and runtime regressions; human editorial/legal review remains mandatory,WS-05
INT-004,integrations,General social publication authority never implicitly enables political publication,proven,6ebbd634bd32408db0a7678289b0f906cda014c0; AGENCY_POLITICAL_PUBLICATION_ENABLED defaults false in app/Helm/Terraform; red-team provider-call count zero,"Keep disabled until exact-head CI, legal/provider/account and explicit effect authorization",WS-08
PROD-007,product,"A run can attach, preview and revoke immutable Instagram JPEG media before Greenlight",proven,3d8ed72332d29b161a48c1201e627a9c016ec6ac; Media Vault API/UI tests; exact bytes/hash/alt/rights artifact contract,Pass exact-head CI and conduct human accessibility/rights review,WS-05
DATA-006,data,"Publication media bytes and metadata are durable, tenant-isolated, hash-verified and shared across PostgreSQL replicas",proven,b5d63f65c52c886a1855f20aff8593ca398383ac; GitHub Actions 30164438593 postgresql-shared-state SUCCESS; PR #14 merge 7522164240b8090fe70ec51525a6a247e4a558c8; PostgreSQL multi-replica Media Vault schema v5,Preserve byte/hash/key-ID contract through schema v7 and authorized production object-storage design,WS-06
SEC-015,security,"Public media access uses opaque expiring capabilities with bounded cache, revocation and no tenant metadata",proven,3d8ed72332d29b161a48c1201e627a9c016ec6ac; capability digest only; random/expired/revoked tests; max-age <=300; secret scan zero,Preserve key-ID-bound replay and bounded cache/revocation; validate stable HTTPS origin and CDN behavior in an authorized target,WS-07
INT-005,integrations,Instagram publication waits for FINISHED and independently verifies the published media before success,proven,b5d63f65c52c886a1855f20aff8593ca398383ac; GitHub Actions 30164438593 8/8; PR #14 merged; container polling and verified receipt tests,Execute one separately authorized neutral sandbox publication after INC-023 exact-head approval,WS-08
OPS-007,operations,"Media Vault configuration is fail-closed across local runner, Helm and Terraform without embedding secrets",proven,b5d63f65c52c886a1855f20aff8593ca398383ac; GitHub Actions 30164438593 Helm/Terraform/container SUCCESS; PR #14 merged,Preserve pre-existing Secret references and execute production rotation only through the human deployment gate,WS-11
EVAL-007,testing,Two isolated real-browser sessions prove political reviewer separation and final confirmation before any provider effect,proven,eb4481c89bab440daa25b11e49799a47a276b194; GitHub Actions 30188644229 8/8; PR #17; installed-wheel Chromium receipt and screenshots,Preserve exact-head browser gate and conduct human editorial/legal review before any real political publication,WS-10
PROD-008,product,Political copy and Critique distinguish mayoral municipal responsibilities from deputy legislative responsibilities,proven,eb4481c89bab440daa25b11e49799a47a276b194; GitHub Actions 30188644229 8/8; PR #17; installed-wheel Chromium receipt and screenshots,Preserve exact-head browser gate and conduct human editorial/legal review before any real political publication,WS-10
SEC-016,security,Public media signing keys rotate through a bounded keyring while durable bindings retain their generating key identifier,weak_evidence,bf32be4b697f8c12bc476f204fbfa2ddc55c5399; tree 76eaaa464aa485d66318cd3b493f4dcaae8da6f5; 341 locked-wheel and 341 PostgreSQL tests; schema v7; OCI/Helm/Terraform/K3s Secret-reference gates; clean-source provenance 6584d7e803ab0b49a1b9ec8a957fd7107591047526fe23d202d2db2d2b531f4d; exact-head CI pending,"Publish clean commit, pass exact-head CI and inspect retained evidence before close gate",WS-08
